3 3	We had to drive away our car immediately .	B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL I-MOTION_SIGNAL O O	B-mover O O B-trigger O O O O O
39 39	I learned a few useful phrases in Quechua ( 'I am 27 years old' , 'I come from the United States' , 'I am hungry' , 'you are pretty' ) , and found these extremely useful in making friends along the road .	B-SPATIAL_ENTITY O O O O O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O O O O O O O O O O O O O B-NONMOTION_EVENT O B-SPATIAL_SIGNAL O B-PATH O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O B-trigger O B-landmark O
25 25	All the islands sit less then a half meter above sea level , and we guessed how many years it would be before they were under water .	O O B-PLACE B-NONMOTION_EVENT B-MEASURE I-MEASURE I-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL O B-PATH O O O O O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O O O O O O O O O B-trajector O B-trigger B-landmark O
1 2	Just north of the Puerta del Sol and next door to the Ministry of Finance , is the Real Academia de Bellas Artes de San Fernando — call it the Museum of the Royal Academy .	B-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE O O O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O O B-PLACE O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O	O B-trigger I-trigger O B-landmark I-landmark I-landmark O O O O O O O O O O O B-trajector I-trajector I-trajector I-trajector I-trajector I-trajector I-trajector I-trajector O O O O O O O O O O
13 13	At the suggestion of a local , upon arriving to town , I went to the local news .	O O O O O O O O B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE O	O O O O O O O O O O O O B-mover B-trigger O O O O O
16 16	Returning to Honduras , I spent my first night camped outside of a family ’s house in the countryside .	B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O O B-SPATIAL_SIGNAL O O O O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O	O O O O O B-trajector O O O O O O O O O O B-trigger O B-landmark O
14 14	Here , in addition to giving a presentation for INPA and also for students at a neighboring University , I talked with scientists modelling climate in the Amazon rainforest .	B-PLACE O O O O B-NONMOTION_EVENT O O O B-PLACE O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE I-PLACE O	O O O O O O O O O O O O O B-trajector B-trigger O O B-landmark O O O O O O O O O O O O
1 2	Just south of Ginza itself , as you walk toward the bay , you see on your left the red lanterns and long banners of the Kabuki-za , home base for that most thrilling and colorful form of traditional Japanese drama .	O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL O B-PLACE O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O B-PLACE O O B-PLACE O O O O O O O O O O O O	O B-trigger I-trigger B-landmark O O O O B-trajector O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
28 28	On the museum grounds — or , more correctly , under the ground — is a careful reproduction of the painted scenes discovered in a cave in Altamira in northern Spain : prehistoric depictions of animals , dating back 15,000 years and representing man ’s first illustrations of the world around him .	B-SPATIAL_SIGNAL O O B-PLACE O O O O O O B-SPATIAL_SIGNAL O B-PATH O O O O B-SPATIAL_ENTITY O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PLACE O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O
15 15	According to a doctor I stayed with in the town of Fresnillo ( met him on the street while asking directions to the firehouse ) , the area is the world ’s second largest producer of silver .	O O O O B-SPATIAL_ENTITY B-NONMOTION_EVENT O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE O B-MOTION B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PATH O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O B-trajector O B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O
13 13	I gave two school presentations , attended a conference on sustainable transportation , visited a team designing bike routes for Lima , met with people styding the effects of global warming in Peru , spent some time hanging out at the South American Explorer ’s clubhouse , and also tried to be a tourist for two days , visiting museums .	B-SPATIAL_ENTITY O O O B-NONMOTION_EVENT O B-NONMOTION_EVENT O B-NONMOTION_EVENT O O O O B-MOTION O B-SPATIAL_ENTITY O O B-PATH B-SPATIAL_SIGNAL B-PLACE O B-MOTION O B-SPATIAL_ENTITY O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O O O O B-NONMOTION_EVENT I-NONMOTION_EVENT B-SPATIAL_SIGNAL O O O O O B-PLACE O O O O O O O O O O O O B-MOTION B-PLACE O	B-mover O O O O O O O O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
10 10	It is estimated that 30,000 people died as flood waters swept away houses along rivers and landslides destroyed the houses built on hillsides .	O O O O O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-SPATIAL_ENTITY B-SPATIAL_SIGNAL B-PATH O B-NONMOTION_EVENT B-MOTION O B-PLACE O B-SPATIAL_SIGNAL B-PATH O	O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O
2 2	People live along these roads â € “ every inch of land that can be farmed in the mountains is farmed or grazed .	O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PATH O O O O B-PLACE O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O B-NONMOTION_EVENT O B-NONMOTION_EVENT O	O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O
21 21	Almost 500 years earlier , Hernan Cortez , the Spanish conquistador , traveled over this pass with a small army and invaded the Aztec capital .	O O O O O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O O O O O B-MOTION B-MOTION_SIGNAL O B-PATH O O O B-SPATIAL_ENTITY O B-MOTION O O B-PLACE O	O O O O O B-mover I-mover O O O O O O O O O O O O B-mover O B-trigger O O O O
22 22	I also learned that cycling is a popular sport here , and I was also impressed with the number of bike racks in Belize City .	B-SPATIAL_ENTITY O O O O O O O O O O O B-SPATIAL_ENTITY O O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL B-PLACE I-PLACE O	O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger B-landmark I-landmark O
31 31	I stayed an extra day in Zacatecas , talked with a school , and then camped atop a building in the center of town , where I encountered my first rain in Mexico .	B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL B-PLACE O O O O B-PLACE O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger B-landmark O
27 27	Goya ’s harrowing “ black paintings , ” done when he was depressed and going deaf ( see Saturn Devouring One of His Sons ) have been moved , temporarily , from the ground floor to the second floor .	B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O B-MOTION O O O B-MOTION_SIGNAL O O B-PLACE B-MOTION_SIGNAL O O B-PLACE O	O O O O B-mover I-mover O O O O O O O O O O O O O O O O O O O O O B-trigger O O O O O O O O O O O O
3 3	Ten streets converge on the plaza , and all the radial highways of Spain are measured from Puerta del Sol , designated “ Kilometer Zero ” ( on the sidewalk on the south side of the square is a symbol of this distinction ) .	O B-PATH B-MOTION B-SPATIAL_SIGNAL O B-PLACE O O O O O B-PATH O B-PLACE O O O B-PLACE I-PLACE I-PLACE O O O B-PLACE I-PLACE O O B-SPATIAL_SIGNAL O B-PATH B-SPATIAL_SIGNAL O O B-PLACE O O B-PLACE O O B-SPATIAL_ENTITY O O O O O	O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
15 15	Lima to Cusco – dirt roads in the Andes Thursday , November 2nd , 2006 Leaving Lima , I biked south along Peru 's desert coast .	O O O O O O O O O O O O O O O B-MOTION B-PLACE O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL O O O B-PATH O	O O O O O O O O O O O O O O O B-trigger O O B-mover O O O O O O O O
0 0	In Tegucigalpa , the flooding reached the third floor of some buildings ( such as the building on the left ) .	B-SPATIAL_SIGNAL B-PLACE O O B-NONMOTION_EVENT B-MOTION O O B-PLACE O O B-PLACE O O O O O O O O O O	B-trigger B-landmark O O B-trajector O O O O O O O O O O O O O O O O O
0 0	In the preserve , Alex maintains a large tower that measures CO2 concentrations , and is he trying to understand how CO2 fluxes into and out of the forest .	B-SPATIAL_SIGNAL O B-PLACE O O B-NONMOTION_EVENT O O B-SPATIAL_ENTITY O O O O O O O O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-MOTION_SIGNAL O O B-PLACE O	B-trigger O B-landmark O O B-trajector O O O O O O O O O O O O O O O O O O O O O O O O
4 4	I biked across sections of Mexico with them , and just ran into them again :	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY O O O B-MOTION B-MOTION_SIGNAL B-SPATIAL_ENTITY O O	O O O B-trajector B-trigger B-landmark O O O O O O O O O O
22 22	It will cause water problems , deadly storms , agricultural losses , rising sea level , heat waves , and major extinctions on land and in the oceans .	O O O O O O O O O O O O B-MOTION O B-PATH O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger B-landmark O O O O O
4 4	I also received a tour of the town from three high school students , and also visited an AIDS clinic ( perhaps one of the saddest parts of this trip ) with a group working for the Catholic Church .	B-SPATIAL_ENTITY O O O B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O O O O B-MOTION O O B-PLACE O O O O O O O O O O O O O O O O O O O O	B-mover O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
14 14	The instructions from the previous visitors were quite correct and it was easy to find the suggested start point .	O O O O O O O O O O O O O O B-MOTION O O O B-PLACE O	O O O O O O O O O O O O O O B-trigger O O O O O
11 11	Hidden in the fog , Andres charged ahead , and I followed through a strange forest of dwarf palm like plants , which can be 100 years old even though they stand only a few feet tall .	O B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL O O O B-SPATIAL_ENTITY O O O O O O O O O B-SPATIAL_ENTITY O O O B-MEASURE I-MEASURE O O	O O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O
34 34	Northern Argentina and crossing the Andes ( again ) Friday , December 29th , 2006 Biking south from Salta , green forest eventually gave away to desert landscape , and I again found myself biking long stretches of desert between small towns .	O O O O O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O O O O O O O O O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY B-MOTION O B-PATH B-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O O O O O
57 57	I have been traveling fast for a few reasons â € “ the end of the school year ( southern hemisphere summer ) means I ca n't give presentations , I have a desire to not be rushed later in the trip , and I made a promise to meet a friend who is flying in to bike with me .	B-SPATIAL_ENTITY O O B-MOTION O O O O O O O O O O O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O B-SPATIAL_ENTITY O O O O B-MOTION O B-SPATIAL_ENTITY B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O B-MOTION O B-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trigger O B-mover O
15 15	” Everywhere you look ” they told me , ” you can see exposed rock beneath the glaciers or glacial lakes .	O O O O O O O B-SPATIAL_ENTITY O O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PATH O O B-PLACE O	O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O B-landmark O
3 3	I hope to ride more with Gregg and Brooks in the future , and there are a number of people that I hope will join me on this trip .	B-SPATIAL_ENTITY O O B-MOTION O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O B-MOTION B-SPATIAL_ENTITY O O O O	B-mover O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O
20 20	We had difficulties to find the road , but a friendly old women went beside our car until the edge of the river Maros , which we had to cross .	B-SPATIAL_ENTITY O O O B-MOTION O B-PATH O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PATH B-SPATIAL_SIGNAL O B-PATH B-PATH O O B-SPATIAL_ENTITY O O B-MOTION O	O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O
12 12	The Rising Oceans Friday , March 16th , 2007 I am sitting in an internet cafe in Punta Arenas , Chile , right now , doing web searches to figure out just how big of a problem sea level rise will be .	O O O O O O O O O B-SPATIAL_ENTITY O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL B-PLACE I-PLACE I-PLACE I-PLACE O O O O B-NONMOTION_EVENT O B-NONMOTION_EVENT O O O O O O O O O O B-PATH B-MOTION O O O	O O O O O O O O O O O B-trajector B-trigger O O B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O
30 30	Passing a navy base , I followed the Pacific Coast Highway along the coastal mountains , passing through Malibu and Santa Monica before turning towards West Los Angeles where I met my friend Julia Goodnough .	B-MOTION O O B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PATH I-PATH I-PATH B-SPATIAL_SIGNAL O O B-PLACE O B-MOTION B-MOTION_SIGNAL B-PLACE O B-PLACE I-PLACE O B-MOTION B-MOTION_SIGNAL B-PLACE I-PLACE I-PLACE B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O O
24 24	A large portion of the country is of African descent and speaks 'Creol English.' It is a diverse country , with immigrants from the surrounding Hispanic countries as well as indigenous Mayan communities .	O O O O O O O O O O O O O O O O O O B-PLACE O O O O O B-SPATIAL_SIGNAL O B-PLACE O O O O O O O	O O O O O O O O O O O O O O O O O O B-landmark O O O O O B-trigger O B-trajector O O O O O O O
17 17	The dry river valley was no longer dry – heavy recent rains in Romania have caused floods in several areas .	O O O B-PATH O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O
1 1	I stopped by the headquarters of environmental friendly and profitable Patagonia , which generates a large portion of their electricity from photovoltaic cells over their parking lot .	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O B-PLACE O O O O O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O O B-PLACE O	B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O
22 22	A school master that I talked to remarked that 'a few years ago , my friends would fly to Bogota instead of drive â € “ now they drive across the country.' My first night out of Cartagena , I stayed on a farm with a man who had been kidnapped and held ransom for three days in 2000 .	O O O O B-SPATIAL_ENTITY O O O O O O O O O O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-PLACE O O B-MOTION O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O B-mover O O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6 6	In Huaraz , I met researchers at INRENA ( Instituto Nacional de Recursos Naturals ) , who monitor the glaciers .	B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-MOTION B-SPATIAL_ENTITY B-SPATIAL_SIGNAL B-PLACE O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O O O O O O O	O O O O B-trajector O B-trigger B-landmark O O O O O O O O O O O O O
5 5	The first two days I traveled through dry desert country that , further south , gave way to pine forests .	O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE O O O B-SPATIAL_SIGNAL O O O O O B-PLACE O	O O O O B-mover B-trigger O O O O O O O O O O O O O O O
8 8	Everywhere roads are built , the forest is cut down , making way for fields of soy beans or beef cattle .	B-SPATIAL_SIGNAL B-PATH O B-MOTION O O B-PLACE O B-MOTION B-MOTION_SIGNAL O O O O B-PLACE B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O	O O O O O O B-mover O B-trigger O O O O O O O O O O O O O
17 17	Most say they ride because it is faster for short distances , and that others do n't ride because they are scared , do n't think of it , or are just plain lazy .	O O B-SPATIAL_ENTITY B-MOTION O O O O O O O O O O B-SPATIAL_ENTITY O O B-MOTION O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O B-mover O O B-trigger O O O O O O O O O O O O O O O O O
19 19	The valley is deep with steep sides and my GPS would only pick up 3 satellites – they were in a nice straight line and it would not give me a fix .	O B-PATH O O B-SPATIAL_SIGNAL O B-PATH O O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL O O O B-PATH O O O O O B-SPATIAL_ENTITY O O O	O O O O O O O O O O O O O O O O O B-trajector O B-trigger O O O B-landmark O O O O O O O O O
20 20	Alex let me climb to the top of the tower , where I was able to look across the treetops of a forest that stretches for thousands of miles beyond the horizon .	O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O O O B-NONMOTION_EVENT O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE O B-MOTION O B-MEASURE I-MEASURE I-MEASURE B-MOTION_SIGNAL O B-PATH O	O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O
18 18	We crossed many villages , but the confluence approached by a very small rate : while we were driving one kilometer the confluence approached by half a kilometer .	B-SPATIAL_ENTITY B-MOTION O B-PLACE O O O B-PLACE B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL O O B-SPATIAL_ENTITY O B-MOTION B-MEASURE I-MEASURE O B-PLACE B-MOTION O O O O O	O O O O O O O O O O O O O O O O B-mover O B-trigger O O O O O O O O O O
4 5	The third day we met up with the road , I mounted the bike , crossed a 12,500 ft pass , and descended into the town of Huacrachuco .	O O O B-SPATIAL_ENTITY B-MOTION I-MOTION O O B-PATH O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O B-MOTION O B-MEASURE I-MEASURE B-PATH O O B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE O	O O O B-mover B-trigger I-trigger O O O O O O O O O O O O O O O O O O O O O O O
